,n_cases,n_executions,n_decision_rows,n_choice_sets,n_transitions_fitted,n_confounders
t_util_s,0.7407121599126053,0.8681540466071593,0.7105524488004393,0.012753428625055194,-0.05077305611686643,-0.1597696293433347
t_dml_s,-0.09520126297961747,0.09372312544942446,0.12039846279582869,0.1873547227810772,0.3304371831337404,0.7320635030982799
t_forest_s,0.03615474700456446,0.24447894731351055,0.1862861266593567,0.007005961646758651,0.14002205919287714,0.5567557438106329
t_backdoor_s,-0.09473724766724614,0.07957154323639022,0.09307967993109807,0.129469509738489,0.26877299781405584,0.6918588611516336
